,sentence,aspect_term,polarity,from,to
275,The price was extremely reasonable for the appetizers and food we ate .,price,positive,4,9
276,"Fresh , authentic , french cuisine in substantial portions .",", french cuisine",positive,18,36
277,"We tried the duck quesadilla (good), a house special maki roll (nothing special), salmon 3 ways (dry+overcooked), and jumbo prawns (super salty).",maki roll,neutral,53,62
278,"He not only makes his own homemade mozzarella , but every pie is ultra fresh .",mozzarella,positive,35,45
279,"There are a few things I can forgive at any popular place: somewhat long waits even with reservations, service staff that mistakenly believes they're there to act haughty rather than serve, and a way over-the-top interior.",service staff,negative,103,116
280,"The only failing was the persian tea, that I'm used to being sweetened with honey.",honey,neutral,76,81
281,"The freshest , best variety , and the fastest delivery .",variety,positive,20,27
282,"I though it was impossible to get such appetizers as a seafood salad or a seafood soup for about $3, but the taste and portions won't let you have any doubts.",taste,negative,109,114
283,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",garlic shrimp,positive,16,29
284,"I have been a longtime fan of Holy Basil in the East Village , and while I do believe their food has slightly slipped in quality , I have been hesitant to be disloyal .",food,negative,92,96
285,"My goodness , everything from the fish to the rice to the seaweed was absolutely amazing .",fish,positive,34,38
286,The sushi was delicious and fresh and they didn't short you on the pieces of fish either.,sushi,positive,4,9
287,Waiters had to reach over people to deliver food.,food,neutral,44,48
288,Get the soup and a nosh (pastrami sandwich) for $8 and you're golden.,soup,positive,8,12
289,"The wait time for food can be long, so don't dine here if you're in a hurry.",food,neutral,18,22
290,"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",food,positive,79,83
291,"When questioning our server about a certain dish, she kindly brought over the Union Sq.",dish,neutral,44,48
292,The atmosphere was crowded but it was a great bistro-type vibe .,bistro-type vibe,positive,46,63
293,"The red curry is weak and tasteless, the pad thai is stuck together and lumpy, the rice is often overcooked, and the seafood is pretty sketchy.",red curry,negative,4,13
294,"The pork chops, cubed steak, pho bo and whole fried fish are among my favorites.",pork chops,positive,4,14
295,Although the prices are kind of high for lunch the atmosphere is nice.,prices,negative,13,19
296,"The bartender was skilled, the owners were very friendly, but the wait for my burrito was longer than I would have liked.",burrito,neutral,78,85
297,"Even if you hate beets, try the beet ravioli- you will not be disappointed!",beets,negative,17,22
298,"Well, this place is so Ghetto its not even funny.",place,negative,11,16
299,"We started ordering wine and, since we don't know much about it, we decided to let the waiter choose for us; we were pleased with his recommendation.",waiter,positive,87,93
300,"not only were we waiting for half an hour with reservations, once we got seated we waited another 15+ minutes for the waiter to come and take out drink menu.",waiter,negative,118,124
301,"When my family and I visited, we were hearded in and out of the restaurant like cattle; not once did our waiter ask how are meal was, and the waitress mixed up our steaks.",meal,neutral,124,128
302,"The staff is very kind and well trained , they 're fast , they are always prompt to jump behind the bar and fix drinks , they know details of every item in the menu and make excelent recomendations .",staff,positive,4,9
303,"The wine kept coming and we were having such a great time, we didn't realize our entree still had not come an hour later.",wine,positive,4,8
304,"Nonetheless, our waiter gave us prompt service and a smile every time he came over to take an order, bring us drinks, or check up on how we were doing.",waiter,positive,17,23
305,Choppy service with a bit of attitude thrown in -when we asked for the restaurant week prix fix menus the aiter made a face.,service,negative,7,14
306,"While this can hardly be called a restaurant , it is possibly the best deal in Manhatten : $ 4 for a plate heaped with rice and 2-3 entrees .",rice,positive,119,123
307,"And toppings are not the best way to go here, and if you do, choose wisely -- it is a very thin crust that can't support much more than the fine sauce and sublime cheese it already has.",toppings,negative,4,12
308,I can't imagine how small the fish portion on the $10 lunch menu must be if I got the large one.,lunch menu,neutral,54,64
309,"With so many $20 bottles of wines from which to choose, our waiter helped pick a good one.",waiter,positive,60,66
310,"The staff is excellent , specjal : that girl behind the bar , european chic .",bar,neutral,56,59
311,"However, I think this place is a good hang out spot.",spot,positive,47,51
312,I also ordered for delivery and the restaurant forgot half the order.,delivery,negative,19,27
313,"When my friend's chicken salad sandwich arrived, she noticed a nice crust, and it wasn't part of the bread.",chicken salad sandwich,neutral,17,39
314,"If I could rate the people this place would be off the charts - unfortunately - the pizza , sorry - not the best in NYC .",people,positive,20,26
315,"From the spectacular caviar to the hospitable waitstaff , I felt like royalty and enjoyed every second of it .",caviar,positive,21,27
316,"Our waiter was pushing us all night to take our plates, and swiped my dessert before I was finised with it.",waiter,negative,4,10
317,Two dogs and an adequately sized drink for two dollars.,dogs,neutral,4,8
318,It is so easy to get a reservation at a top place in NYC with a week's notice.,reservation,positive,23,34
319,This is n't your corner Chinese food takeout .,Chinese food,neutral,24,37
320,"We arrived, were greeeted and sked by the hostess I think if we were there for the Brunch, that was starting up again on today(3/12) the cost $25 per person.",hostess,positive,42,49
321,"It has a large salad bar, many side dishes, soups, fruits, bread, crab legs and sushi.",soups,neutral,44,49
322,"I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!",new Jazz Bar,neutral,72,84
323,The service was dreadfully slow (the place was only half full) and a smile would have been nice...,service,negative,4,11
324,"In my opinion, the bar is not very well laid out, its narrow design makes it hard to meet a group for drinks.",bar,neutral,19,22
325,Such nice people working here - but I have to review the food .,people,positive,10,16
